Title,Price,Area,Locations,Link
3 Bedroom House,16000,495 m²,Westdene,https://property24.com/to-rent/westdene/johannesburg/gauteng/4178/114773980
Commercial Property,30000,275 m²,Sunninghill,https://property24.com/to-rent/sunninghill/sandton/gauteng/4289/114773970
2 Bedroom Apartment,7200,NA,Boksburg Central,https://property24.com/to-rent/boksburg-central/boksburg/gauteng/16722/114773963
2 Bedroom Townhouse,7000,NA,Terenure,https://property24.com/to-rent/terenure/kempton-park/gauteng/1367/114773952
4 Bedroom House,9730,1 427 m²,Bergsig,https://property24.com/to-rent/bergsig/heidelberg/gauteng/4887/112837482
2 Bedroom Apartment,8000,49 m²,Jukskei Park,https://property24.com/to-rent/jukskei-park/randburg/gauteng/4279/114773911
3 Bedroom House,7200,537 m²,Hesteapark,https://property24.com/to-rent/hesteapark/akasia/gauteng/334/114773843
3 Bedroom House,25000,1 013 m²,Sunningdale,https://property24.com/to-rent/sunningdale/umhlanga/kwazulu-natal/11724/114773839
4 Bedroom House,65000,2 177 m²,Muckleneuk,https://property24.com/to-rent/muckleneuk/pretoria/gauteng/32/114773830
3 Bedroom House,25000,1 013 m²,Sunningdale,https://property24.com/to-rent/sunningdale/umhlanga/kwazulu-natal/11724/114725599
3 Bedroom House,25000,1 197 m²,Plattekloof,https://property24.com/to-rent/plattekloof/parow/western-cape/8190/114773820
2 Bedroom Townhouse,16300,97 m²,Hyde Park,https://property24.com/to-rent/hyde-park/sandton/gauteng/5832/114773775
3 Bedroom House,18500,60 m²,Lilianton,https://property24.com/to-rent/lilianton/boksburg/gauteng/1956/114773769
2 Bedroom Apartment,7500,NA,Noordwyk,https://property24.com/to-rent/noordwyk/midrand/gauteng/1548/114773760
2 Bedroom Apartment,29999,104 m²,Houghton Estate,https://property24.com/to-rent/houghton-estate/johannesburg/gauteng/5926/114773750
2 Bedroom Apartment,9000,NA,Musgrave,https://property24.com/to-rent/musgrave/durban/kwazulu-natal/6166/113306031
2 Bedroom Apartment,21000,120 m²,Bedford Gardens,https://property24.com/to-rent/bedford-gardens/bedfordview/gauteng/11764/114773715
1 Bedroom Apartment,6400,NA,Constantia Kloof,https://property24.com/to-rent/constantia-kloof/roodepoort/gauteng/1573/114773713
4 Bedroom House,10000,NA,Hartswater,https://property24.com/to-rent/hartswater/hartswater/northern-cape/9335/114773708
1 Bedroom Apartment,7000,50 m²,Lonehill,https://property24.com/to-rent/lonehill/sandton/gauteng/5247/114773707
3 Bedroom Townhouse,10000,127 m²,Walmer Heights,https://property24.com/to-rent/walmer-heights/port-elizabeth/eastern-cape/8343/114773699
2 Bedroom Townhouse,6800,NA,Olympus AH,https://property24.com/to-rent/olympus-ah/pretoria/gauteng/12201/114773670
2 Bedroom Apartment,12000,106 m²,Dowerglen,https://property24.com/to-rent/dowerglen/edenvale/gauteng/1194/114647168
Commercial Property,94044,606 m²,Die Hoewes,https://property24.com/to-rent/die-hoewes/centurion/gauteng/433/114773668
2 Bedroom Apartment,5400,NA,South Crest,https://property24.com/to-rent/south-crest/alberton/gauteng/1887/114773663
Farm,110000,1 000 m²,Cape Town City Centre,https://property24.com/to-rent/cape-town-city-centre/cape-town/western-cape/9138/114773647
3 Bedroom House,15000,NA,Glenashley,https://property24.com/to-rent/glenashley/durban-north/kwazulu-natal/12870/114773399
2 Bedroom Apartment,8800,NA,Diamant Park,https://property24.com/to-rent/diamant-park/kimberley/northern-cape/11038/114773395
3 Bedroom Apartment,6800,NA,Rydalvale,https://property24.com/to-rent/rydalvale/phoenix/kwazulu-natal/11797/114773394
2 Bedroom Townhouse,22500,140 m²,Bryanston,https://property24.com/to-rent/bryanston/sandton/gauteng/5176/114773385
2 Bedroom Apartment,19000,109 m²,Menlo Park,https://property24.com/to-rent/menlo-park/pretoria/gauteng/259/114773333
3 Bedroom Townhouse,12500,39 289 m²,Willow Park Manor,https://property24.com/to-rent/willow-park-manor/pretoria/gauteng/132/114773332
Industrial Property,59752,679 m²,Springfield,https://property24.com/to-rent/springfield/durban/kwazulu-natal/6196/114773331
3 Bedroom Townhouse,8000,NA,Albertsdal,https://property24.com/to-rent/albertsdal/alberton/gauteng/1870/114773322
2 Bedroom Townhouse,9900,NA,Montana,https://property24.com/to-rent/montana/pretoria/gauteng/3984/114773308
2 Bedroom Apartment,65000,180 m²,De Waterkant,https://property24.com/to-rent/de-waterkant/cape-town/western-cape/9141/110369765
2 Bedroom Apartment,7000,54 m²,Erand Gardens,https://property24.com/to-rent/erand-gardens/midrand/gauteng/16015/114773302
2 Bedroom Apartment,12000,106 m²,Dowerglen,https://property24.com/to-rent/dowerglen/edenvale/gauteng/1194/114773296
2 Bedroom Apartment,9500,116 m²,Eco Park Estate,https://property24.com/to-rent/eco-park-estate/centurion/gauteng/12768/114773294
2 Bedroom Apartment,7000,NA,Blackridge,https://property24.com/to-rent/blackridge/pietermaritzburg/kwazulu-natal/5485/114773292
Commercial Property,5120,64 m²,Denver,https://property24.com/to-rent/denver/johannesburg/gauteng/4204/114773291
3 Bedroom House,6500,372 m²,Cosmo City,https://property24.com/to-rent/cosmo-city/roodepoort/gauteng/11859/114773289
Commercial Property,50,200 m²,Croftdene,https://property24.com/to-rent/croftdene/chatsworth/kwazulu-natal/17926/114773277
3 Bedroom House,8950,NA,Fairview,https://property24.com/to-rent/fairview/port-elizabeth/eastern-cape/8316/114773276
2 Bedroom Townhouse,,NA,Mooikloof,https://property24.com/to-rent/mooikloof/pretoria/gauteng/10/114773273
Commercial Property,41400,207 m²,Tyger Valley,https://property24.com/to-rent/tyger-valley/bellville/western-cape/8227/114773253
3 Bedroom House,16000,NA,Gordons Bay Central,https://property24.com/to-rent/gordons-bay-central/gordons-bay/western-cape/7833/114773250
3 Bedroom Apartment,30000,119 m²,Umhlanga Central,https://property24.com/to-rent/umhlanga-central/umhlanga/kwazulu-natal/6381/114773249
1 Bedroom Apartment,4000,NA,Lynnwood Ridge,https://property24.com/to-rent/lynnwood-ridge/pretoria/gauteng/251/109497336
3 Bedroom House,7000,NA,Selcourt,https://property24.com/to-rent/selcourt/springs/gauteng/1146/114773228
2 Bedroom Townhouse,6032,10 216 m²,Castleview,https://property24.com/to-rent/castleview/germiston/gauteng/1676/114773200
4 Bedroom Apartment,200000,480 m²,Fresnaye,https://property24.com/to-rent/fresnaye/cape-town/western-cape/11016/114773180
2 Bedroom Apartment,8000,43 m²,Northgate,https://property24.com/to-rent/northgate/randburg/gauteng/4457/114773178
2 Bedroom Apartment,9000,NA,Arcadia,https://property24.com/to-rent/arcadia/pretoria/gauteng/301/114773165
2 Bedroom House,6300,50 m²,Riverside View,https://property24.com/to-rent/riverside-view/midrand/gauteng/25489/114773154
2 Bedroom Apartment,8250,95 m²,Blackheath,https://property24.com/to-rent/blackheath/randburg/gauteng/4541/114146976
3 Bedroom House,13500,NA,Chiltern Hills,https://property24.com/to-rent/chiltern-hills/durban/kwazulu-natal/7056/114773134
2 Bedroom Townhouse,10500,NA,Montana,https://property24.com/to-rent/montana/pretoria/gauteng/3984/114773116
2 Bedroom Apartment,8800,NA,Ferndale,https://property24.com/to-rent/ferndale/randburg/gauteng/4406/114773108
3 Bedroom House,16000,NA,Gordons Bay Central,https://property24.com/to-rent/gordons-bay-central/gordons-bay/western-cape/7833/114568842
2 Bedroom Apartment,9500,55 m²,Umhlanga Ridge,https://property24.com/to-rent/umhlanga-ridge/umhlanga/kwazulu-natal/6383/114773093
4 Bedroom House,15000,NA,Kleinmond Central,https://property24.com/to-rent/kleinmond-central/kleinmond/western-cape/16691/114773090
Commercial Property,77148,857 m²,Rivonia,https://property24.com/to-rent/rivonia/sandton/gauteng/4251/114402367
2 Bedroom Townhouse,11000,226 m²,Pentagon Park,https://property24.com/to-rent/pentagon-park/bloemfontein/free-state/9691/114773073
3 Bedroom Townhouse,10600,NA,Kenleaf,https://property24.com/to-rent/kenleaf/brakpan/gauteng/2273/114773060
2 Bedroom Apartment,12200,110 m²,Waterfall,https://property24.com/to-rent/waterfall/midrand/gauteng/1535/114773052
1 Bedroom Apartment,7900,NA,Greenstone Hill,https://property24.com/to-rent/greenstone-hill/edenvale/gauteng/11700/114773035
3 Bedroom House,28000,NA,Paulshof,https://property24.com/to-rent/paulshof/sandton/gauteng/5211/114773003
1 Bedroom Apartment,18000,NA,Century City,https://property24.com/to-rent/century-city/milnerton/western-cape/8027/114773000
2 Bedroom House,4000,350 m²,Soshanguve VV,https://property24.com/to-rent/soshanguve-vv/soshanguve/gauteng/17878/114772996
Industrial Property,95000,780 m²,Boston,https://property24.com/to-rent/boston/bellville/western-cape/9419/114772982?plId=1746030&plt=4
2 Bedroom Apartment,8850,66 m²,Fourways,https://property24.com/to-rent/fourways/sandton/gauteng/5811/114772978
2 Bedroom Apartment,28000,96 m²,Century City,https://property24.com/to-rent/century-city/milnerton/western-cape/8027/114772954
3 Bedroom Townhouse,10600,NA,Kenleaf,https://property24.com/to-rent/kenleaf/brakpan/gauteng/2273/114524525
Commercial Property,175,312 m²,La Lucia Ridge,https://property24.com/to-rent/la-lucia-ridge/umhlanga/kwazulu-natal/6140/114772953
4 Bedroom House,16500,NA,Brackendowns,https://property24.com/to-rent/brackendowns/alberton/gauteng/1833/114772937
4 Bedroom Townhouse,26800,NA,Olympus AH,https://property24.com/to-rent/olympus-ah/pretoria/gauteng/12201/114772932
1 Bedroom Apartment,5950,NA,Witfield,https://property24.com/to-rent/witfield/boksburg/gauteng/1977/114772927
House,48000,NA,Eagle Canyon Golf Estate,https://property24.com/to-rent/eagle-canyon-golf-estate/roodepoort/gauteng/10926/114772924
2 Bedroom Apartment,7700,NA,Lynnwood Glen,https://property24.com/to-rent/lynnwood-glen/pretoria/gauteng/244/114772922
3 Bedroom House,20000,495 m²,Boston,https://property24.com/to-rent/boston/bellville/western-cape/9419/114772914
2 Bedroom Apartment,7250,NA,Montana Park,https://property24.com/to-rent/montana-park/pretoria/gauteng/4070/114772899
Townhouse,7900,1 428 m²,Florida,https://property24.com/to-rent/florida/roodepoort/gauteng/1574/114772898
Commercial Property,5725,30 m²,Westville,https://property24.com/to-rent/westville/durban/kwazulu-natal/17997/114772897
